Grid Size,Source Position,UAV Rows,UGV Move Radius,UAV Sample,UAV RMSE,UGV Sample,UGV RMSE,Random Sample,Random RMSE
1024,None,3,8,1,100.88249206236024,,,,
,,,,2,100.88221500828028,,,,
,,,,3,100.88191743892173,,,,
,,,,4,100.88160944493734,,,,
,,,,5,100.88130347524395,,,,
,,,,6,100.88098290038984,,,,
,,,,7,100.88068232985292,,,,
,,,,8,100.88041554119137,,,,
,,,,9,100.88015576755512,,,,
,,,,10,100.87987489371885,,,,
,,,,11,100.8795813407577,,,,
,,,,12,100.87928600979595,,,,
,,,,13,100.87896495222245,,,,
,,,,14,100.87864145916251,,,,
,,,,15,100.87829887690214,,,,
,,,,,,1,3.7093941989973205,1,30.187119044102023
,,,,,,2,3.731793661947411,2,20.97937995666731
,,,,,,3,3.663051536267152,3,18.21178478931838
,,,,,,4,3.6448933193837165,4,13.831129938241745
,,,,,,5,3.679825979122143,5,72.66673279103519
,,,,,,6,3.5968510091037458,6,68.67343635315656
,,,,,,7,3.6731634986603527,7,74.51482609982439
,,,,,,8,3.705090951598753,8,69.87517615522684
,,,,,,9,3.6574417491341977,9,64.33947602239417
,,,,,,10,3.6757670251802863,10,66.5894631991938
,,,,,,11,3.790164648587983,11,66.46564718489516
,,,,,,12,3.7091435023271813,12,61.97523450203169
,,,,,,13,3.701598790558221,13,64.29968435167773
,,,,,,14,3.7125508507310814,14,62.856822578735624
,,,,,,15,3.609069354265434,15,57.523545864449844
,,,,,,16,3.714452129194474,16,57.43951777004428
,,,,,,17,3.6546778510908653,17,54.98239904265272
,,,,,,18,3.676265549742538,18,52.88953455076522
,,,,,,19,3.6252011418694052,19,57.64992451477871
,,,,,,20,3.6083219066038272,20,53.58548061414747
,,,,,,21,3.7218155878442434,21,56.19062343485305
,,,,,,22,3.633587783845352,22,56.43463137581891
,,,,,,23,3.64822819758979,23,56.3807932303508
,,,,,,24,3.731442833997999,24,54.06187492674048
,,,,,,25,3.688655958071468,25,53.84703182734977
,,,,,,26,3.7046671014508044,26,52.726597983522446
,,,,,,27,3.6367524956594837,27,52.93622665176625
,,,,,,28,3.5459638029519427,28,52.560259950939184
,,,,,,29,3.8093112385950705,29,51.13549296130137
,,,,,,30,3.7583166291963925,30,52.52827998731744
,,,,,,31,3.507108075298149,31,51.21652797036718
,,,,,,32,3.681787088625789,32,51.26231952244508
,,,,,,33,3.6201343086660356,33,49.23477811408417
,,,,,,34,3.6932422600762655,34,53.25562549923172
,,,,,,35,3.7807908948164664,35,51.18985822729701
,,,,,,36,3.732881769468204,36,50.4804561532574
,,,,,,37,3.6659869906831477,37,52.22493857948179
,,,,,,38,3.6304710445132837,38,60.6151753522056
,,,,,,39,3.671926420083991,39,60.818733733568585
,,,,,,40,3.7270855061359636,40,60.58957915182141
,,,,,,41,3.778934609189779,41,60.09721973772454
,,,,,,42,3.6796520476219388,42,59.81123762848209
,,,,,,43,3.791310219951025,43,58.34525914841816
,,,,,,44,3.7579683675060767,44,57.79556625921019
,,,,,,45,3.682885597457236,45,57.250842658653085
,,,,,,46,3.7748390829570977,46,56.74416256065063
,,,,,,47,3.6927195288718724,47,58.55299408163084
,,,,,,48,3.8371915291544414,48,61.36791319893532
,,,,,,49,3.727042636703185,49,57.02500422983176
,,,,,,50,3.686330316175891,50,55.030766988998906
,,,,,,51,3.6333575414732247,51,55.51028723054102
,,,,,,52,3.772962419966658,52,54.92567574880056
,,,,,,53,3.7253878927887434,53,55.19952849851378
,,,,,,54,3.6905443630218335,54,54.41365560549894
,,,,,,55,3.6238490385967674,55,58.37359369737053
,,,,,,56,3.6493543786532054,56,55.03648269954669
,,,,,,57,3.708846953548306,57,53.456554487842816
,,,,,,58,3.826829401486104,58,52.67791848356059
,,,,,,59,3.8013370010850362,59,57.34890405470244
,,,,,,60,3.720097317851236,60,56.65662801282374
,,,,,,61,3.697901056491013,61,57.12037058561146
,,,,,,62,3.730739814382695,62,57.63045631624046
,,,,,,63,3.6860185580927793,63,57.39154278267378
,,,,,,64,3.6809466994022824,64,57.19572244892431
,,,,,,65,3.6897121347006996,65,56.66266575895418
,,,,,,66,3.6137861378919447,66,59.40025001429678
,,,,,,67,3.6552969552122767,67,58.643251674491445
,,,,,,68,3.5992436050712215,68,57.80339158515394
,,,,,,69,3.606291093829481,69,58.333253184176385
,,,,,,70,3.6123329609688954,70,58.29601272442822
,,,,,,71,3.6107645897343605,71,58.40218643686804
,,,,,,72,3.692138839692124,72,56.86579113999748
